Startdatum;Enddatum;Portfolioname;Währung;Kampagnen-Name;Anzeigengruppenname;Ausrichtung;Übereinstimmungstyp;Suchbegriff des Kunden;Impressionen;Klicks;Klickrate (CTR);Kosten pro Klick (CPC);Ausgaben;7 Tage, Umsatz gesamt (€);Gesamtumsatzkosten für Werbung (ACOS) ;Gesamtrendite von Werbeausgaben (Return on Advertising Spend, ROAS);7 Tage, Aufträge gesamt (#);7 Tage, Einheiten gesamt (#);7-Tage-Konversionsrate;7 Tage, Beworbene SKU-Einheiten (#);7-Tage, Andere SKU-Einheiten (#);7 Tage, Beworbene SKU-Umsätze (€);7-Tage, Andere SKU-Umsätze (€)
Apr 22, 2023;Apr 22, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;knife sharpener;BROAD;knife sharpener professional;3;1;33,3333%;€0,07;€0,07;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 30, 2023;Mai 01, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;knife sharpener;BROAD;knife sharpener roller;10;3;30,0000%;€0,34;€1,03;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 26, 2023;Apr 26, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;knife sharpener;BROAD;knife sharpener roller grinder;1;1;100,0000%;€0,24;€0,24;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 10, 2023;Mai 10, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;knife sharpener;BROAD;knife sharpener wet stone with etui;1;1;100,0000%;€0,32;€0,32;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 30, 2023;Apr 30, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;knife sharpener;BROAD;knife sharpener zwilling;4;1;25,0000%;€0,45;€0,45;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 31, 2023;Mrz 31, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;knife sharpener;BROAD;leder knife sharpener;5;1;20,0000%;€0,38;€0,38;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 25, 2023;Mai 25, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;knife sharpener;BROAD;multi knife and tool sharpener;1;1;100,0000%;€0,10;€0,10;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 08, 2023;Apr 18, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;knife sharpener;BROAD;pocket knife sharpener;9;2;22,2222%;€0,26;€0,52;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 05, 2023;Mai 05, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;knife sharpener;BROAD;professional electric knife sharpener;2;1;50,0000%;€0,11;€0,11;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 20, 2023;Mai 20, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;knife sharpener;BROAD;rolling knife sharpener set;1;1;100,0000%;€0,15;€0,15;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 03, 2023;Mai 03, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;knife sharpener;BROAD;rotary grinder knife sharpener;2;1;50,0000%;€0,46;€0,46;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 30, 2023;Mrz 30, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;knife sharpener;BROAD;sharp knife test;1;1;100,0000%;€0,29;€0,29;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 30, 2023;Mai 05, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;knife sharpener;BROAD;tumbler diamond rolling knife sharpener set;24;3;12,5000%;€0,31;€0,93;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 17, 2023;Mai 17, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;knife sharpener;BROAD;tumblr knife sharpener;2;1;50,0000%;€0,27;€0,27;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 27, 2023;Apr 27, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;knife sharpener;BROAD;wicked edge 3 | knife sharpener;1;1;100,0000%;€0,47;€0,47;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 29, 2023;Apr 29, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;knife sharpener;BROAD;work sharp knife;32;1;3,1250%;€0,49;€0,49;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 07, 2023;Apr 07, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;sharpening stone;BROAD;matsunaga sharpening stone;1;1;100,0000%;€0,36;€0,36;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 17, 2023;Apr 17, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;sharpening stone;BROAD;wet stones knife sharpening 200;2;1;50,0000%;€0,24;€0,24;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 16, 2023;Apr 16, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;messerscharf profi;BROAD;messerschärfer elektrisch profi;7;1;14,2857%;€0,23;€0,23;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 03, 2023;Mai 30, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;diamant messerschärfer;BROAD;dmt diamant messerschärfer;3167;13;0,4105%;€0,36;€4,62;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 19, 2023;Mai 19, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group BROAD Match;diamant messerschärfer;BROAD;dmt diamant messerschärfer 8 zoll;1;1;100,0000%;€0,40;€0,40;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 30, 2023;Mrz 30, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;wetzstein;PHRASE;lutopic wetzstein;1;1;100,0000%;€0,09;€0,09;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 29, 2023;Apr 29, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;wetzstein;PHRASE;sch rfwerkzeug wetzsteinen;7;1;14,2857%;€0,41;€0,41;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 08, 2023;Mai 08, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;wetzstein;PHRASE;wetzstein;33;1;3,0303%;€0,61;€0,61;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 25, 2023;Apr 25, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;wetzstein;PHRASE;wetzstein für katana;2;1;50,0000%;€0,19;€0,19;€21,00;0,9048%;110,53;1;1;100,0000%;1;0;€21,00;€0,00
Mai 30, 2023;Mai 30, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;wetzstein;PHRASE;wetzstein sense;15;1;6,6667%;€0,22;€0,22;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 31, 2023;Mai 31, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;abziehstein;PHRASE;bearmoo abziehstein set;9;1;11,1111%;€0,36;€0,36;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 16, 2023;Mai 16, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;abziehstein;PHRASE;kai shun abziehstein;5;1;20,0000%;€0,43;€0,43;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 06, 2023;Apr 08, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;abziehstein;PHRASE;razorri abziehsteine set;36;2;5,5556%;€0,44;€0,87;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 17, 2023;Mai 17, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;schleifstein;PHRASE;arbeitsmesser mit schleifstein;1;1;100,0000%;€0,30;€0,30;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 22, 2023;Apr 22, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;schleifstein;PHRASE;keramik schleifstein;6;1;16,6667%;€0,25;€0,25;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 28, 2023;Apr 28, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;schleifstein;PHRASE;schleifstein;17;1;5,8824%;€0,31;€0,31;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 10, 2023;Apr 10, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;schleifstein;PHRASE;schleifstein für friseurschere;1;1;100,0000%;€0,03;€0,03;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 10, 2023;Mai 10, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;schleifstein;PHRASE;schleifstein keramik;6;1;16,6667%;€0,34;€0,34;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 19, 2023;Mai 19, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;schleifstein;PHRASE;schleifstein keramik 220 grit;1;1;100,0000%;€0,03;€0,03;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 30, 2023;Mrz 30, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;schleifstein;PHRASE;schleifstein mit winkelführung;4;1;25,0000%;€0,20;€0,20;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 31, 2023;Mai 31, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;schleifstein;PHRASE;schleifstein outdoor;2;1;50,0000%;€0,29;€0,29;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 19, 2023;Apr 19, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;schleifstein set;PHRASE;schleifstein set 400/1000 3000/8000;9;1;11,1111%;€0,26;€0,26;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 01, 2023;Mai 01, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;schleifstein set;PHRASE;schleifstein set mit winkel;1;1;100,0000%;€0,20;€0,20;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 10, 2023;Apr 10, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;sharpening stone;PHRASE;ceramic knife sharpening stone;1;1;100,0000%;€0,34;€0,34;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 26, 2023;Apr 26, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;sharpening stone;PHRASE;ceramic sharpening stone;1;1;100,0000%;€0,38;€0,38;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 11, 2023;Mai 11, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;sharpening stone;PHRASE;diamond sharpening stone;2;1;50,0000%;€0,23;€0,23;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 07, 2023;Mai 07, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;sharpening stone;PHRASE;sharpening stone correction;1;1;100,0000%;€0,40;€0,40;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Jun 02, 2023;Jun 02, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;sharpening stone;PHRASE;sharpening stones;2;1;50,0000%;€0,63;€0,63;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 09, 2023;Mai 09, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;messerscharf profi;PHRASE;festwinkel messerschärfer profi;2;1;50,0000%;€0,43;€0,43;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 30, 2023;Apr 30, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;messerscharf profi;PHRASE;messerschärfer profi elektrisch;78;1;1,2821%;€0,43;€0,43;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 04, 2023;Mai 08, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;messerschärfer set;PHRASE;lansky messerschärfer set;94;3;3,1915%;€0,37;€1,11;€21,00;5,2857%;18,92;1;1;33,3333%;1;0;€21,00;€0,00
Apr 24, 2023;Mai 19, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;messerschärfer set;PHRASE;messerschärfer set diamant;11;4;36,3636%;€0,57;€2,27;€21,00;10,8095%;9,25;1;1;25,0000%;1;0;€21,00;€0,00
Mai 31, 2023;Mai 31, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;messerschärfer set;PHRASE;rolling messerschärfer-set;1;1;100,0000%;€0,55;€0,55;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 23, 2023;Mai 23, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;abziehstein diamant;PHRASE;abziehstein diamant;2;1;50,0000%;€0,50;€0,50;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 16, 2023;Mai 16, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;diamant schleifstein;PHRASE;5 diamant schleifstein;32;1;3,1250%;€0,46;€0,46;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 30, 2023;Apr 30, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;diamant schleifstein;PHRASE;adelmayer diamant schleifstein 6000;1;1;100,0000%;€0,54;€0,54;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 29, 2023;Apr 18, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;diamant schleifstein;PHRASE;diamant schleifstein;4030;31;0,7692%;€0,52;€16,14;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 04, 2023;Apr 04, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;diamant schleifstein;PHRASE;diamant schleifstein 6000;14;2;14,2857%;€0,40;€0,80;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 06, 2023;Mai 06, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;diamant schleifstein;PHRASE;diamant schleifstein set;2;1;50,0000%;€0,49;€0,49;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 26, 2023;Mai 26, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;diamant schleifstein;PHRASE;diamant schleifsteine;2;1;50,0000%;€0,48;€0,48;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 18, 2023;Apr 18, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;diamant schleifstein;PHRASE;diamant+schleifstein;2;1;50,0000%;€0,39;€0,39;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 16, 2023;Mai 16, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;diamant schleifstein;PHRASE;messerschaerfer diamant schleifstein;65;1;1,5385%;€0,54;€0,54;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 30, 2023;Mrz 30, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;diamant schleifstein;PHRASE;messerschärfer diamant schleifstein;1;1;100,0000%;€0,58;€0,58;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 05, 2023;Mai 07, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;messerschärfer profi;PHRASE;messerschärfer profi elektrisch;36;3;8,3333%;€0,43;€1,30;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 09, 2023;Mai 09, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;messerschleifmaschine;PHRASE;elektrische messerschleifmaschine profi;3;1;33,3333%;€0,44;€0,44;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 17, 2023;Mai 17, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;diamant messerschärfer;PHRASE;diamant messerschärfer profi;1;1;100,0000%;€0,63;€0,63;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 04, 2023;Apr 18, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;messerschärfer diamant;PHRASE;lansky messerschärfer diamant;609;3;0,4926%;€0,55;€1,64;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 29, 2023;Mai 23, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;messerschärfer diamant;PHRASE;messerschärfer diamant;2706;20;0,7391%;€0,65;€12,93;€21,00;61,5714%;1,62;1;1;5,0000%;1;0;€21,00;€0,00
Mrz 29, 2023;Mai 21, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;messerschärfer diamant;PHRASE;messerschärfer diamant schleifstein;6;3;50,0000%;€0,62;€1,86;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 05, 2023;Mai 05, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;messerschärfer diamant;PHRASE;schleifstein messerschärfer diamant;4;1;25,0000%;€0,72;€0,72;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 01, 2023;Mai 01, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;messerschärfer diamant;PHRASE;schleifstein messerschärfer diamant dtm;1;1;100,0000%;€0,75;€0,75;€21,00;3,5714%;28,00;1;1;100,0000%;1;0;€21,00;€0,00
Apr 14, 2023;Mai 20, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group PHRASE Match;lutopic diamant schleifstein;PHRASE;lutopic diamant schleifstein;373;5;1,3405%;€0,57;€2,87;€23,52;12,2024%;8,20;1;1;20,0000%;1;0;€23,52;€0,00
Mrz 29, 2023;Mai 31, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group EXACT Match;wetzstein;EXACT;wetzstein;357;8;2,2409%;€0,41;€3,26;€47,04;6,9303%;14,43;2;2;25,0000%;2;0;€47,04;€0,00
Apr 01, 2023;Mai 23, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group EXACT Match;abziehstein;EXACT;abziehstein;672;8;1,1905%;€0,73;€5,80;€21,00;27,6190%;3,62;1;1;12,5000%;1;0;€21,00;€0,00
Apr 05, 2023;Apr 05, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group EXACT Match;schleifstein;EXACT;schleifstein;29;1;3,4483%;€0,16;€0,16;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 04, 2023;Mai 28, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group EXACT Match;messerschärfer;EXACT;messerschärfer;65;5;7,6923%;€0,15;€0,75;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 28, 2023;Mai 28, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group EXACT Match;knife sharpener;EXACT;knife sharpener;15;1;6,6667%;€0,27;€0,27;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 02, 2023;Apr 22, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group EXACT Match;sharpening stone;EXACT;sharpening stone;875;10;1,1429%;€0,48;€4,81;€21,00;22,9048%;4,37;1;1;10,0000%;1;0;€21,00;€0,00
Apr 08, 2023;Mai 31, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group EXACT Match;messerschärfer set;EXACT;messerschärfer set;155;8;5,1613%;€0,75;€6,02;€21,00;28,6667%;3,49;1;1;12,5000%;1;0;€21,00;€0,00
Mai 08, 2023;Mai 26, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group EXACT Match;abziehstein diamant;EXACT;abziehstein diamant;25;4;16,0000%;€0,78;€3,12;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 02, 2023;Jun 01, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group EXACT Match;diamant schleifstein;EXACT;diamant schleifstein;7218;38;0,5265%;€0,50;€18,86;€120,13;15,6997%;6,37;5;5;13,1579%;4;1;€86,52;€33,61
Apr 02, 2023;Apr 18, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group EXACT Match;diamant schleifstein;EXACT;diamant+schleifstein;9;2;22,2222%;€0,44;€0,88;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 23, 2023;Mai 27, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group EXACT Match;diamant schleifstein;EXACT;diamanten schleifstein;7;2;28,5714%;€0,48;€0,96;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 03, 2023;Mai 03, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group EXACT Match;messerschleifmaschine;EXACT;messerschleifmaschine;24;1;4,1667%;€0,64;€0,64;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 30, 2023;Jun 01, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group EXACT Match;diamant messerschärfer;EXACT;diamant messerschärfer;26260;127;0,4836%;€0,69;€87,82;€478,88;18,3386%;5,45;18;18;14,1732%;9;9;€189,00;€289,88
Apr 22, 2023;Apr 22, 2023;Not grouped;EUR;Lutopic_Schleifstein_Set_400/1000 - Perpetua - SP - Manual - 7mw02f9r;Ad Group EXACT Match;diamant messerschärfer;EXACT;diamant+messerschärfer;1;1;100,0000%;€0,83;€0,83;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
