Startdatum;Enddatum;Portfolioname;Währung;Kampagnen-Name;Anzeigengruppenname;Ausrichtung;Übereinstimmungstyp;Suchbegriff des Kunden;Impressionen;Klicks;Klickrate (CTR);Kosten pro Klick (CPC);Ausgaben;7 Tage, Umsatz gesamt (€);Gesamtumsatzkosten für Werbung (ACOS) ;Gesamtrendite von Werbeausgaben (Return on Advertising Spend, ROAS);7 Tage, Aufträge gesamt (#);7 Tage, Einheiten gesamt (#);7-Tage-Konversionsrate;7 Tage, Beworbene SKU-Einheiten (#);7-Tage, Andere SKU-Einheiten (#);7 Tage, Beworbene SKU-Umsätze (€);7-Tage, Andere SKU-Umsätze (€)
Apr 03, 2023;Apr 29, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group EXACT Match;wannenablage glas;EXACT;wannenablage glas;31;3;9,6774%;€0,39;€1,17;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 18, 2023;Mai 18, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group EXACT Match;badewannenbrett kunststoff;EXACT;badewannenbrett kunststoff;19;1;5,2632%;€0,95;€0,95;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 30, 2023;Mai 20, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group EXACT Match;laptop hülle 16 zoll;EXACT;laptop hülle 16 zoll;484;4;0,8264%;€0,98;€3,90;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 29, 2023;Mai 29, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;laptop hülle 16 zoll;PHRASE;laptop hülle 16 zoll;94;1;1,0638%;€0,96;€0,96;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 19, 2023;Apr 19, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group PHRASE Match;laptop hülle 16 zoll;PHRASE;laptop hülle 16 zoll stossfest;2;1;50,0000%;€0,69;€0,69;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 13, 2023;Apr 13, 2023;Not grouped;EUR;Taskha | Leder | Br/Bk |15/16 - Perpetua - SP - Manual - 5fduhbkf;Ad Group BROAD Match;laptop hülle 16 zoll;BROAD;laptop-hüllen 16:10 15.6 zoll;2;1;50,0000%;€0,57;€0,57;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 18, 2023;Apr 18, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannenbrett schwarz;PHRASE;badewannenbrett schwarz;15;1;6,6667%;€0,53;€0,53;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 13, 2023;Mai 19, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group EXACT Match;badewannenbrett schwarz;EXACT;badewannenbrett schwarz;36;3;8,3333%;€0,26;€0,77;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 30, 2023;Mai 18, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group BROAD Match;badewannenbrett schwarz;BROAD;badewannenbrett schwarz;1463;17;1,1620%;€0,72;€12,24;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 09, 2023;Apr 09, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group BROAD Match;badewannenbrett schwarz;BROAD;badewannenbrett schwarz metall;24;1;4,1667%;€0,62;€0,62;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 08, 2023;Apr 08, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group BROAD Match;badewannenbrett schwarz;BROAD;schwarzes badewannenbrett 80 cm breit;6;1;16,6667%;€0,82;€0,82;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 29, 2023;Jun 01, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;laptop ablage badewanne;PHRASE;laptop ablage badewanne;4402;59;1,3403%;€0,52;€30,49;€226,85;13,4406%;7,44;5;5;8,4746%;2;3;€90,74;€136,11
Apr 28, 2023;Mai 16, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group EXACT Match;laptop ablage badewanne;EXACT;laptop ablage badewanne;493;7;1,4199%;€0,47;€3,29;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 04, 2023;Mai 09, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewanne brett ablage;PHRASE;badewanne brett ablage;468;4;0,8547%;€0,26;€1,05;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 08, 2023;Mai 08, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewanne brett ablage;PHRASE;badewanne brett ablage 80cm;7;1;14,2857%;€0,32;€0,32;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 24, 2023;Apr 24, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewanne brett ablage;PHRASE;badewanne brett ablage weis;4;1;25,0000%;€0,30;€0,30;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 05, 2023;Mai 05, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewanne brett ablage;PHRASE;badewannen brett ablage;25;1;4,0000%;€0,07;€0,07;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
